,home_matches_played,home_goals_scored_avg,home_goals_conceded_avg,home_win_rate,home_draw_rate,home_loss_rate,away_matches_played,away_goals_scored_avg,away_goals_conceded_avg,away_win_rate,away_draw_rate,away_loss_rate,total_matches_played,total_goals_scored_avg,total_goals_conceded_avg,overall_win_rate,recent_form
FC St. Pauli 1910,10.0,0.7,1.2,0.2,0.2,0.6,10.0,1.0,1.1,0.4,0.0,0.6,10.0,0.7,1.0,0.3,0.06666666666666667
Borussia Dortmund,10.0,2.5,1.3,0.5,0.3,0.2,10.0,1.3,1.8,0.3,0.1,0.6,10.0,2.0,1.7,0.4,0.6
RB Leipzig,10.0,2.1,1.5,0.5,0.3,0.2,10.0,1.4,1.6,0.3,0.3,0.4,10.0,1.6,1.8,0.2,0.4
VfL Bochum 1848,10.0,1.0,1.5,0.3,0.2,0.5,10.0,1.0,2.5,0.1,0.2,0.7,10.0,1.1,1.3,0.3,0.3333333333333333
VfB Stuttgart,10.0,1.8,1.5,0.5,0.0,0.5,10.0,1.4,1.4,0.4,0.4,0.2,10.0,1.3,1.3,0.4,0.26666666666666666
Eintracht Frankfurt,10.0,2.5,1.7,0.5,0.3,0.2,10.0,1.8,1.6,0.4,0.3,0.3,10.0,1.6,1.7,0.4,0.3333333333333333
1. FC Union Berlin,10.0,0.9,1.2,0.3,0.3,0.4,10.0,0.9,2.3,0.2,0.0,0.8,10.0,0.8,2.2,0.2,0.26666666666666666
Borussia Mönchengladbach,10.0,1.9,1.0,0.6,0.2,0.2,10.0,1.4,1.7,0.4,0.2,0.4,10.0,1.5,1.6,0.5,0.6666666666666666
Bayer 04 Leverkusen,10.0,2.3,0.9,0.7,0.3,0.0,10.0,1.9,1.0,0.5,0.5,0.0,10.0,2.3,0.8,0.7,0.7333333333333333
SC Freiburg,10.0,2.1,1.2,0.7,0.1,0.2,10.0,0.7,2.1,0.3,0.2,0.5,10.0,1.7,1.9,0.6,0.8
VfL Wolfsburg,10.0,1.9,1.7,0.3,0.5,0.2,10.0,2.1,1.2,0.6,0.2,0.2,10.0,1.7,1.3,0.4,0.6
FC Augsburg,10.0,1.2,1.0,0.5,0.2,0.3,10.0,1.3,1.5,0.3,0.4,0.3,10.0,1.1,1.0,0.4,0.6
FC Bayern München,10.0,3.8,0.8,1.0,0.0,0.0,10.0,2.2,0.8,0.6,0.3,0.1,10.0,3.0,0.8,0.9,0.8666666666666667
1. FSV Mainz 05,10.0,1.4,0.7,0.6,0.2,0.2,10.0,1.7,1.0,0.5,0.1,0.4,10.0,1.4,0.6,0.6,0.6666666666666666
Holstein Kiel,10.0,1.5,2.1,0.3,0.1,0.6,10.0,1.6,2.7,0.0,0.3,0.7,10.0,2.1,2.6,0.2,0.13333333333333333
1. FC Heidenheim 1846,10.0,0.5,2.0,0.1,0.1,0.8,10.0,1.4,2.3,0.1,0.2,0.7,10.0,0.9,1.9,0.1,0.06666666666666667
SV Werder Bremen,10.0,1.6,1.7,0.3,0.3,0.4,10.0,1.6,2.4,0.4,0.1,0.5,10.0,1.4,2.5,0.2,0.2
TSG 1899 Hoffenheim,10.0,1.5,2.1,0.2,0.3,0.5,10.0,1.0,1.4,0.3,0.4,0.3,10.0,1.2,2.0,0.3,0.4666666666666667
