,home_matches_played,home_goals_scored_avg,home_goals_conceded_avg,home_win_rate,home_draw_rate,home_loss_rate,away_matches_played,away_goals_scored_avg,away_goals_conceded_avg,away_win_rate,away_draw_rate,away_loss_rate,total_matches_played,total_goals_scored_avg,total_goals_conceded_avg,overall_win_rate,recent_form
Valencia CF,10.0,1.4,1.4,0.4,0.2,0.4,10.0,0.6,2.0,0.0,0.5,0.5,10.0,1.2,1.8,0.3,0.4666666666666667
RCD Mallorca,10.0,1.1,1.1,0.5,0.2,0.3,10.0,1.0,1.6,0.4,0.1,0.5,10.0,0.9,1.8,0.3,0.3333333333333333
Real Valladolid CF,10.0,0.7,2.0,0.2,0.2,0.6,10.0,0.8,2.7,0.1,0.0,0.9,10.0,0.6,2.6,0.2,0.06666666666666667
Real Madrid CF,10.0,2.6,1.1,0.8,0.1,0.1,10.0,1.9,1.1,0.5,0.2,0.3,10.0,2.1,1.2,0.5,0.3333333333333333
Club Atlético de Madrid,10.0,1.8,0.7,0.8,0.2,0.0,10.0,1.5,0.6,0.5,0.3,0.2,10.0,1.3,0.5,0.6,0.7333333333333333
Rayo Vallecano de Madrid,10.0,1.3,1.3,0.4,0.3,0.3,10.0,0.7,0.7,0.3,0.4,0.3,10.0,1.0,0.8,0.4,0.4666666666666667
CA Osasuna,10.0,1.7,1.4,0.4,0.4,0.2,10.0,0.6,1.0,0.1,0.6,0.3,10.0,0.9,1.1,0.1,0.4
Deportivo Alavés,10.0,0.8,1.3,0.2,0.3,0.5,10.0,1.3,2.0,0.1,0.3,0.6,10.0,1.2,1.4,0.1,0.13333333333333333
FC Barcelona,10.0,2.7,0.8,0.7,0.0,0.3,10.0,2.5,1.2,0.5,0.3,0.2,10.0,2.4,0.9,0.6,1.0
Sevilla FC,10.0,1.0,1.1,0.4,0.4,0.2,10.0,1.6,1.7,0.3,0.3,0.4,10.0,1.4,1.3,0.3,0.4
Real Betis Balompié,10.0,1.6,1.3,0.4,0.4,0.2,10.0,1.2,1.5,0.4,0.1,0.5,10.0,1.6,1.3,0.5,0.6666666666666666
Getafe CF,10.0,0.9,0.7,0.3,0.4,0.3,10.0,1.0,1.0,0.4,0.1,0.5,10.0,1.1,0.7,0.5,0.6666666666666666
Athletic Club,10.0,2.4,0.6,0.7,0.3,0.0,10.0,1.2,1.1,0.3,0.5,0.2,10.0,2.0,0.8,0.5,0.5333333333333333
RCD Espanyol de Barcelona,10.0,1.2,1.0,0.4,0.4,0.2,10.0,0.7,2.1,0.1,0.1,0.8,10.0,0.9,0.8,0.3,0.5333333333333333
Villarreal CF,10.0,2.2,1.4,0.4,0.4,0.2,10.0,1.5,1.3,0.5,0.2,0.3,10.0,2.1,1.0,0.5,0.7333333333333333
CD Leganés,10.0,1.0,1.7,0.3,0.2,0.5,10.0,0.9,1.6,0.1,0.5,0.4,10.0,0.8,1.8,0.2,0.13333333333333333
UD Las Palmas,10.0,1.0,1.3,0.3,0.2,0.5,10.0,1.3,1.9,0.3,0.2,0.5,10.0,0.8,1.7,0.1,0.06666666666666667
Real Sociedad de Fútbol,10.0,1.3,0.7,0.6,0.2,0.2,10.0,0.7,1.0,0.3,0.1,0.6,10.0,1.0,1.2,0.4,0.4
Girona FC,10.0,1.9,1.6,0.5,0.1,0.4,10.0,0.7,1.5,0.2,0.2,0.6,10.0,1.2,1.6,0.3,0.26666666666666666
RC Celta de Vigo,10.0,1.4,1.0,0.5,0.2,0.3,10.0,1.0,1.7,0.1,0.4,0.5,10.0,1.3,1.3,0.3,0.5333333333333333
