match_id,home_team,away_team,competition,match_date,status,home_score,away_score,half_time_home,half_time_away,result,half_full_result
503046,Genoa CFC,FC Internazionale Milano,Serie A,2024-08-17 16:30:00+00:00,FINISHED,2.0,2.0,1.0,1.0,D,D/D
503052,Parma Calcio 1913,ACF Fiorentina,Serie A,2024-08-17 16:30:00+00:00,FINISHED,1.0,1.0,1.0,0.0,D,H/D
503045,Empoli FC,AC Monza,Serie A,2024-08-17 18:45:00+00:00,FINISHED,0.0,0.0,0.0,0.0,D,D/D
503051,AC Milan,Torino FC,Serie A,2024-08-17 18:45:00+00:00,FINISHED,2.0,2.0,0.0,1.0,D,A/D
503043,Bologna FC 1909,Udinese Calcio,Serie A,2024-08-18 16:30:00+00:00,FINISHED,1.0,1.0,0.0,0.0,D,D/D
503047,Hellas Verona FC,SSC Napoli,Serie A,2024-08-18 16:30:00+00:00,FINISHED,3.0,0.0,0.0,0.0,H,D/H
503044,Cagliari Calcio,AS Roma,Serie A,2024-08-18 18:45:00+00:00,FINISHED,0.0,0.0,0.0,0.0,D,D/D
503049,SS Lazio,Venezia FC,Serie A,2024-08-18 18:45:00+00:00,FINISHED,3.0,1.0,2.0,1.0,H,H/H
503050,US Lecce,Atalanta BC,Serie A,2024-08-19 16:30:00+00:00,FINISHED,0.0,4.0,0.0,2.0,A,A/A
503048,Juventus FC,Como 1907,Serie A,2024-08-19 18:45:00+00:00,FINISHED,3.0,0.0,2.0,0.0,H,H/H
503059,Parma Calcio 1913,AC Milan,Serie A,2024-08-24 16:30:00+00:00,FINISHED,2.0,1.0,1.0,0.0,H,H/H
503062,Udinese Calcio,SS Lazio,Serie A,2024-08-24 16:30:00+00:00,FINISHED,2.0,1.0,1.0,0.0,H,H/H
503056,FC Internazionale Milano,US Lecce,Serie A,2024-08-24 18:45:00+00:00,FINISHED,2.0,0.0,1.0,0.0,H,H/H
503057,AC Monza,Genoa CFC,Serie A,2024-08-24 18:45:00+00:00,FINISHED,0.0,1.0,0.0,1.0,A,A/A
503054,ACF Fiorentina,Venezia FC,Serie A,2024-08-25 16:30:00+00:00,FINISHED,0.0,0.0,0.0,0.0,D,D/D
503061,Torino FC,Atalanta BC,Serie A,2024-08-25 16:30:00+00:00,FINISHED,2.0,1.0,1.0,1.0,H,D/H
503058,SSC Napoli,Bologna FC 1909,Serie A,2024-08-25 18:45:00+00:00,FINISHED,3.0,0.0,1.0,0.0,H,H/H
503060,AS Roma,Empoli FC,Serie A,2024-08-25 18:45:00+00:00,FINISHED,1.0,2.0,0.0,1.0,A,A/A
503053,Cagliari Calcio,Como 1907,Serie A,2024-08-26 16:30:00+00:00,FINISHED,1.0,1.0,1.0,0.0,D,H/D
503055,Hellas Verona FC,Juventus FC,Serie A,2024-08-26 18:45:00+00:00,FINISHED,0.0,3.0,0.0,2.0,A,A/A
503072,Venezia FC,Torino FC,Serie A,2024-08-30 16:30:00+00:00,FINISHED,0.0,1.0,0.0,0.0,A,D/A
503066,FC Internazionale Milano,Atalanta BC,Serie A,2024-08-30 18:45:00+00:00,FINISHED,4.0,0.0,2.0,0.0,H,H/H
503063,Bologna FC 1909,Empoli FC,Serie A,2024-08-31 16:30:00+00:00,FINISHED,1.0,1.0,1.0,1.0,D,D/D
503069,US Lecce,Cagliari Calcio,Serie A,2024-08-31 16:30:00+00:00,FINISHED,1.0,0.0,1.0,0.0,H,H/H
503068,SS Lazio,AC Milan,Serie A,2024-08-31 18:45:00+00:00,FINISHED,2.0,2.0,0.0,1.0,D,A/D
503070,SSC Napoli,Parma Calcio 1913,Serie A,2024-08-31 18:45:00+00:00,FINISHED,2.0,1.0,0.0,1.0,H,A/H
503064,ACF Fiorentina,AC Monza,Serie A,2024-09-01 16:30:00+00:00,FINISHED,2.0,2.0,1.0,2.0,D,A/D
503065,Genoa CFC,Hellas Verona FC,Serie A,2024-09-01 16:30:00+00:00,FINISHED,0.0,2.0,0.0,0.0,A,D/A
503067,Juventus FC,AS Roma,Serie A,2024-09-01 18:45:00+00:00,FINISHED,0.0,0.0,0.0,0.0,D,D/D
503071,Udinese Calcio,Como 1907,Serie A,2024-09-01 18:45:00+00:00,FINISHED,1.0,0.0,1.0,0.0,H,H/H
503075,Como 1907,Bologna FC 1909,Serie A,2024-09-14 13:00:00+00:00,FINISHED,2.0,2.0,1.0,0.0,D,H/D
503076,Empoli FC,Juventus FC,Serie A,2024-09-14 16:00:00+00:00,FINISHED,0.0,0.0,0.0,0.0,D,D/D
503079,AC Milan,Venezia FC,Serie A,2024-09-14 18:45:00+00:00,FINISHED,4.0,0.0,4.0,0.0,H,H/H
503077,Genoa CFC,AS Roma,Serie A,2024-09-15 10:30:00+00:00,FINISHED,1.0,1.0,0.0,1.0,D,A/D
503073,Atalanta BC,ACF Fiorentina,Serie A,2024-09-15 13:00:00+00:00,FINISHED,3.0,2.0,3.0,2.0,H,H/H
503082,Torino FC,US Lecce,Serie A,2024-09-15 13:00:00+00:00,FINISHED,0.0,0.0,0.0,0.0,D,D/D
503074,Cagliari Calcio,SSC Napoli,Serie A,2024-09-15 16:00:00+00:00,FINISHED,0.0,4.0,0.0,1.0,A,A/A
503080,AC Monza,FC Internazionale Milano,Serie A,2024-09-15 18:45:00+00:00,FINISHED,1.0,1.0,0.0,0.0,D,D/D
503081,Parma Calcio 1913,Udinese Calcio,Serie A,2024-09-16 16:30:00+00:00,FINISHED,2.0,3.0,2.0,0.0,A,H/A
503078,SS Lazio,Hellas Verona FC,Serie A,2024-09-16 18:45:00+00:00,FINISHED,2.0,1.0,2.0,1.0,H,H/H
503084,Cagliari Calcio,Empoli FC,Serie A,2024-09-20 16:30:00+00:00,FINISHED,0.0,2.0,0.0,1.0,A,A/A
503086,Hellas Verona FC,Torino FC,Serie A,2024-09-20 18:45:00+00:00,FINISHED,2.0,3.0,1.0,2.0,A,A/A
503092,Venezia FC,Genoa CFC,Serie A,2024-09-21 13:00:00+00:00,FINISHED,2.0,0.0,0.0,0.0,H,D/H
503088,Juventus FC,SSC Napoli,Serie A,2024-09-21 16:00:00+00:00,FINISHED,0.0,0.0,0.0,0.0,D,D/D
503089,US Lecce,Parma Calcio 1913,Serie A,2024-09-21 18:45:00+00:00,FINISHED,2.0,2.0,1.0,0.0,D,H/D
503085,ACF Fiorentina,SS Lazio,Serie A,2024-09-22 10:30:00+00:00,FINISHED,2.0,1.0,0.0,1.0,H,A/H
503090,AC Monza,Bologna FC 1909,Serie A,2024-09-22 13:00:00+00:00,FINISHED,1.0,2.0,1.0,1.0,A,D/A
503091,AS Roma,Udinese Calcio,Serie A,2024-09-22 16:00:00+00:00,FINISHED,3.0,0.0,1.0,0.0,H,H/H
503087,FC Internazionale Milano,AC Milan,Serie A,2024-09-22 18:45:00+00:00,FINISHED,1.0,2.0,1.0,1.0,A,D/A
503083,Atalanta BC,Como 1907,Serie A,2024-09-24 18:45:00+00:00,FINISHED,2.0,3.0,1.0,0.0,A,H/A
503097,AC Milan,US Lecce,Serie A,2024-09-27 18:45:00+00:00,FINISHED,3.0,0.0,3.0,0.0,H,H/H
503102,Udinese Calcio,FC Internazionale Milano,Serie A,2024-09-28 13:00:00+00:00,FINISHED,2.0,3.0,1.0,2.0,A,A/A
503096,Genoa CFC,Juventus FC,Serie A,2024-09-28 16:00:00+00:00,FINISHED,0.0,3.0,0.0,0.0,A,D/A
503093,Bologna FC 1909,Atalanta BC,Serie A,2024-09-28 18:45:00+00:00,FINISHED,1.0,1.0,0.0,0.0,D,D/D
503101,Torino FC,SS Lazio,Serie A,2024-09-29 10:30:00+00:00,FINISHED,2.0,3.0,0.0,1.0,A,A/A
503094,Como 1907,Hellas Verona FC,Serie A,2024-09-29 13:00:00+00:00,FINISHED,3.0,2.0,1.0,0.0,H,H/H
503100,AS Roma,Venezia FC,Serie A,2024-09-29 13:00:00+00:00,FINISHED,2.0,1.0,0.0,1.0,H,A/H
503095,Empoli FC,ACF Fiorentina,Serie A,2024-09-29 16:00:00+00:00,FINISHED,0.0,0.0,0.0,0.0,D,D/D
